id;wb_1;wb_2;wb_3;wb_4;wb_5;wb_6;wb_7;wb_8;wb_9;wb_10;wb_11;wb_12;wb_13;wb_14;stress_1;stress_2;stress_3;stress_4;stress_5;stress_6;stress_7;soc_1;soc_2;soc_3;soc_4;soc_5;soc_6;soc_7;soc_8;soc_9;soc_10;soc_11;soc_12;soc_13;sonc_1;sonc_2;sonc_3;sonc_4;sonc_5;sonc_6;sonc_7;sonc_8;trust_media;trust_court;trust_police;trust_pm;trust_gov;trust_econ;trust_health;trust_hospital;trust_edu;trust_localgov;trust_relig;support_family;support_community;support_virtual;support_gov;support_work;support_relig;support_friends;gender;age;age_1;soc;sonc;wb;trust;support;mh;edu - dummy;edu;stress
102;5;6;5;5;6;2;6;2;5;3;5;6;3;6;1;0;0;0;0;1;0;7;5;5;4;6;7;6;4;6;4;2;6;5;2;5;1;6;4;3;5;7;2;4;4;1;1;;1;5;;3;;4;3;1;1;3;;5;2;1989;32;5.153846154;4.125;4.642857143;2.625;2.833333333;1.461538462;5;tertiary;2
103;2;4;4;1;5;5;3;4;3;4;5;4;4;3;1;1;1;0;0;1;0;5;3;2;2;3;1;3;2;1;1;3;1;2;2;1;1;2;2;1;5;3;2;3;2;1;2;2;2;4;2;4;5;3;2;2;2;2;;5;2;1998;23;2.230769231;2.125;3.642857143;2.636363636;2.666666667;2.153846154;5;tertiary;4
104;4;6;5;4;4;3;5;3;4;4;3;5;4;4;2;1;2;1;1;1;1;3;3;5;6;7;7;3;7;6;6;6;7;7;1;1;1;3;3;5;4;4;3;2;2;1;1;1;2;4;3;2;;5;4;3;2;2;;5;2;1974;47;5.615384615;2.75;4.142857143;2.1;3.5;2.076923077;6;tertiary;9
105;5;6;5;5;4;4;4;4;5;5;5;4;5;5;1;1;1;1;1;1;0;7;6;6;6;7;6;4;6;6;6;6;7;6;2;2;2;5;3;5;5;5;4;;;1;1;1;1;4;1;4;;4;4;4;3;4;;4;1;1978;43;6.076923077;3.625;4.714285714;2.125;3.833333333;1.538461538;6;tertiary;6
106;4;6;3;3;2;3;2;2;5;5;3;4;4;3;1;1;2;1;1;0;1;3;6;3;4;5;4;4;3;5;3;3;6;4;2;5;2;7;5;2;6;6;2;1;1;1;1;1;1;3;1;1;1;5;4;2;1;3;;3;2;1990;31;4.076923077;4.375;3.5;1.272727273;3;1.769230769;6;tertiary;7
107;4;5;5;3;2;2;2;2;4;4;4;4;5;5;1;1;1;1;1;1;1;4;5;5;5;6;4;4;4;5;5;4;5;6;4;4;4;4;4;4;4;4;1;2;2;2;2;2;2;4;3;3;1;4;1;1;1;3;1;3;1;1985;36;4.769230769;4;3.642857143;2.181818182;2;2;6;tertiary;7
108;3;6;5;6;4;6;4;2;4;5;4;5;4;6;3;2;1;2;1;3;1;5;3;3;5;4;3;7;4;3;3;4;6;6;3;2;1;4;4;3;3;4;2;3;1;1;1;1;1;4;1;2;1;4;3;2;1;4;4;5;2;1994;27;4.307692308;3;4.571428571;1.636363636;3.285714286;2.538461538;5;tertiary;13
109;5;6;6;3;1;1;5;4;6;6;5;6;6;6;0;0;0;0;0;0;0;5;5;5;6;6;6;7;7;7;6;4;7;7;3;2;3;6;5;3;6;7;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;1;4;2;1982;39;6;4.375;4.714285714;3;3.142857143;1.076923077;4;secondary;0
110;5;6;5;1;4;5;5;4;5;4;5;3;2;5;1;0;1;1;0;1;0;6;7;7;4;6;6;5;4;6;6;5;6;6;2;5;3;4;4;3;3;5;2;2;2;2;2;2;2;3;2;2;2;4;4;3;1;5;1;4;2;1978;43;5.692307692;3.625;4.214285714;2.090909091;3.142857143;1.461538462;6;tertiary;4
111;5;6;5;3;3;3;5;3;4;4;4;4;3;4;1;1;1;2;1;1;1;7;6;6;7;7;6;5;6;7;7;6;7;7;1;6;2;2;3;7;3;4;2;3;3;2;2;2;3;5;3;3;2;5;3;1;2;4;2;3;1;1958;63;6.461538462;3.5;4;2.727272727;2.857142857;1.923076923;6;tertiary;8
112;6;6;6;1;6;6;6;6;6;6;6;5;6;6;0;0;0;0;0;0;0;7;5;5;4;6;6;5;7;7;6;5;7;7;3;1;6;7;7;3;4;7;2;2;4;2;2;2;3;4;2;2;1;5;1;1;1;5;1;5;1;1976;45;5.923076923;4.75;5.571428571;2.363636364;2.714285714;1;6;tertiary;0
113;5;6;5;6;5;5;6;5;4;5;5;5;5;6;1;1;1;2;1;1;0;7;7;6;7;7;7;5;6;7;6;5;6;6;4;6;5;5;5;4;5;6;3;3;3;2;2;1;2;5;4;4;3;3;3;2;2;4;3;3;1;1958;63;6.307692308;5;5.214285714;2.909090909;2.857142857;1.615384615;6;tertiary;7
114;3;6;5;2;6;1;2;2;4;6;4;6;5;6;0;0;2;0;2;1;0;4;1;3;5;4;5;3;4;3;3;4;4;6;2;2;2;2;2;1;2;3;4;4;4;1;1;1;1;5;1;4;1;4;4;1;1;1;1;4;1;1983;38;3.769230769;2;4.142857143;2.454545455;2.285714286;1.538461538;6;tertiary;5
115;4;4;6;5;5;5;5;4;5;6;4;4;5;6;1;1;1;0;1;1;0;4;5;6;5;6;6;5;6;5;5;6;7;7;3;7;7;7;7;6;6;4;2;3;3;3;3;3;3;4;3;4;3;4;3;3;4;4;3;3;1;1959;62;5.615384615;5.875;4.857142857;3.090909091;3.428571429;1.615384615;6;tertiary;5
116;2;5;5;4;1;1;1;1;6;6;6;6;6;6;0;0;1;0;0;0;0;2;5;6;7;5;7;3;6;6;7;5;5;7;1;7;4;5;2;1;4;7;3;2;3;1;1;1;1;3;1;3;1;3;1;1;1;2;1;3;2;1980;41;5.461538462;3.875;4;1.818181818;1.714285714;1.384615385;6;tertiary;1
117;5;5;5;2;1;1;2;2;2;6;5;1;2;2;1;0;1;0;0;0;0;4;5;6;5;7;6;6;6;6;5;6;6;7;1;4;4;6;5;5;3;4;3;;;3;3;3;3;4;3;4;;5;4;3;3;4;;4;2;1982;39;5.769230769;4;2.928571429;3.25;3.833333333;1.307692308;6;tertiary;2
118;3;5;5;5;4;2;2;2;2;4;4;6;6;6;3;3;3;3;2;2;1;7;6;3;7;5;6;6;5;1;1;6;6;1;2;6;3;3;2;4;4;5;4;;;1;2;1;2;5;2;5;1;3;1;5;1;4;1;5;2;1993;28;4.615384615;3.625;4;2.555555556;2.857142857;3.384615385;6;tertiary;17
119;3;2;1;1;2;1;2;1;2;2;3;1;1;1;1;1;0;2;1;0;2;6;5;3;3;3;1;3;2;2;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;2;3;3;3;4;3;3;1;4;2;2;2;3;1;5;1;1997;24;2.923076923;2.25;1.642857143;2.818181818;2.714285714;2.153846154;5;tertiary;7
120;4;5;4;3;3;3;6;2;4;4;4;4;5;4;1;1;2;1;1;1;1;7;5;5;4;4;3;5;3;3;3;3;2;2;3;2;3;5;4;2;3;5;3;3;3;1;2;3;3;3;3;3;3;3;2;3;1;4;;3;2;1994;27;3.769230769;3.375;3.928571429;2.727272727;2.666666667;2;5;tertiary;8
121;4;5;5;4;4;4;3;4;4;3;4;4;4;5;1;0;1;2;0;1;0;5;6;6;5;1;6;4;5;3;6;5;5;7;2;1;5;3;2;3;2;6;4;5;4;3;3;3;4;5;3;3;2;5;2;2;3;4;2;3;1;1984;37;4.923076923;3;4.071428571;3.545454545;3;1.538461538;6;tertiary;5
